        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section             | Raw                   |   N/A    | 0000053F | 7DE77471 | --------- Raw section
 File                | Freeform              |   N/A    | 000005A3 | 75405A7D | ------- C659DD1A-FEDD-48CB-9369-D13B64A1CC8A
 Section             | GUID defined          |   N/A    | 0000058B | A5CFF014 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000006DE | 0E67D232 | --------- Raw section
 File                | Freeform              |   N/A    | 00000422 | 2B0BF5F8 | ------- 0FC131DD-BB05-4199-A612-C90471E20C81
 Section             | GUID defined          |   N/A    | 0000040A | FB901320 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000561 | 84213A93 | --------- Raw section
 File                | Freeform              |   N/A    | 00004E89 | 0710645C | ------- B4C9FA78-A0A3-4405-805F-854A0C0480B6
 Section             | GUID defined          |   N/A    | 00004E71 | BFE0220C | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00004F3E | 09BE56E4 | --------- Raw section
 File                | Freeform              |   N/A    | 00000646 | 56528CDE | ------- 7E82B01F-6660-4929-A330-41B614B8D5B9
 Section             | GUID defined          |   N/A    | 0000062E | D89584BB | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000781 | EBAAA2FE | --------- Raw section
 File                | Freeform              |   N/A    | 00000708 | 06EE47F8 | ------- EF4B59CF-354A-4A48-92EF-E2CB26FD6F3D
 Section             | GUID defined          |   N/A    | 000006F0 | 7162DA2F | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000084F | BA3220F1 | --------- Raw section
 File                | Freeform              |   N/A    | 0000081B | A0AABFC5 | ------- 34734893-D884-4B10-AFE5-EE12DDA1313C
 Section             | GUID defined          |   N/A    | 00000803 | A23F688B | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000B6A | 29854944 | --------- Raw section
 File                | Freeform              |   N/A    | 00000BA7 | 7814FB35 | ------- 4246F956-516C-4B6A-8F80-A46B046BFEF7
 Section             | GUID defined          |   N/A    | 00000B8F | AA2B617C | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000E78 | 205CFE96 | --------- Raw section
 File                | Freeform              |   N/A    | 000009C0 | 28294B60 | ------- B11B593F-4111-4B52-9A0A-D3A747958BF2
 Section             | GUID defined          |   N/A    | 000009A8 | 11FB2153 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000C4C | FD5D04BD | --------- Raw section
 File                | Freeform              |   N/A    | 00000C67 | 11E23EC5 | ------- C2944076-057A-4041-8281-DDA4F225EE7C
 Section             | GUID defined          |   N/A    | 00000C4F | D5440464 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000EF9 | 2CFC82BE | --------- Raw section
 File                | Freeform              |   N/A    | 0000099D | 06A16B29 | ------- 641EC682-AC23-4050-9D41-6F91A054FB79
 Section             | GUID defined          |   N/A    | 00000985 | 48E17771 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000C5C | 9D349E61 | --------- Raw section
 File                | Freeform              |   N/A    | 00000C23 | C27472E3 | ------- E7BFFE00-6503-4506-A0DB-012C095CA466
 Section             | GUID defined          |   N/A    | 00000C0B | 5FA75CAE | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000EDA | 4EE371FC | --------- Raw section
 File                | Freeform              |   N/A    | 00000BD8 | BD37F605 | ------- A23E99CA-F2AC-42A9-A5A5-AA45A4EA3723
